Species,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agonus_cataphractus,1,3,8,2,4,7,10,16,4,9,6,2,1,3,5,8,9,11,4,5,5,10,5,2,2,4,9,3,3,11,16,10,5,8,16,18,8,2,4
Alosa_fallax,1,7,20,27,36,21,6,0,63,104,14,17,1,20,29,34,7,5,22,3,13,5,15,10,1,15,1,0,2,30,8,0,5,4,3,1,8,15,30
Ammodytes_marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes_tobianus,3,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,2,0,0,3,1,2,1,0,1,0,2,0,0,0,2,1,1,0,0,2,4,3
Anguilla_anguilla,44,61,17,23,12,15,18,17,13,13,4,3,8,6,7,6,10,8,7,7,6,5,3,3,1,2,2,1,0,2,6,3,2,4,2,1,1,3,2
Aphia_minuta,2,74,21,35,27,14,1,5,8,39,9,22,2,6,6,15,6,2,18,20,2,14,31,2,10,31,9,10,1,6,11,8,7,7,18,1,22,35,29
Arnoglossus_laterna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Atherina_boyeri,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,1,3,2,0,2,5,0,1,1,2,1,0,1,0,0,3,0,0,0,0,5,2,0,1
Balistes_capriscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Belone_belone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buglossidium_luteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Callionymus_lyra,7,0,2,3,1,2,2,0,4,0,3,0,1,5,3,5,1,6,4,7,3,4,3,1,0,8,3,1,1,3,5,1,2,4,0,0,0,1,1
Callionymus_reticulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,5,0,0
Capros_aper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4,1,1
Centrolabrus_exoletus,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chelidonichthys_lastoviza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chelidonichthys_lucerna,0,2,4,0,0,1,1,2,5,7,0,0,0,0,2,1,2,0,1,0,1,2,0,1,0,0,0,0,0,3,5,0,20,0,1,0,6,6,14
Chelon_auratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chelon_labrosus,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelon_ramada,19,19,15,5,13,18,23,2,30,30,104,89,35,16,11,78,367,30,11,19,61,29,44,48,29,21,58,31,35,84,160,57,30,23,20,24,181,72,25
Ciliata_mustela,9,43,14,14,3,5,6,83,35,74,30,25,23,38,33,21,12,93,78,64,49,39,225,48,74,50,100,175,170,101,332,67,41,142,47,345,212,38,77
Ciliata_septentrionalis,1,2,2,0,2,4,5,1,3,0,1,2,3,1,5,6,1,4,2,4,3,2,3,6,1,1,5,8,8,1,4,0,2,6,1,7,11,2,4
Clupea_harengus,0,18,0,1,1,26,50,2,58,2,2,3,9,4,52,7,18,10,3,163,125,4,70,254,28,265,74,221,110,1091,43,326,453,61,439,202,11,1966,308
Conger_conger,11,13,4,12,8,7,5,5,8,7,7,9,8,6,13,18,13,6,4,8,7,53,15,7,2,10,7,7,5,3,8,2,1,4,16,10,10,23,10
Crystallogobius_linearis,0,0,2,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctenolabrus_rupestris,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopterus_lumpus,9,1,0,63,2,3,3,0,1,1,4,1,0,9,5,0,0,1,0,1,0,3,1,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
Dicentrarchus_labrax,36,49,49,11,16,15,14,11,193,146,37,48,23,25,86,46,382,165,92,59,65,599,95,64,98,39,49,62,19,15,6,15,11,326,148,63,87,120,60
