"","yr1981","yr1982","yr1983","yr1984","yr1985","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019"
"Ciliata_mustela",9,43,19,14,3,6,83,35,74,30,25,23,38,33,21,12,93,78,65,49,39,225,48,61,50,100,196,192,108,332,67,41,142,47,346,212,38,77
"Clupea_harengus",0,18,0,1,1,51,2,58,2,2,3,9,4,52,7,18,10,3,163,125,4,70,254,27,265,74,253,115,1124,43,326,453,61,439,202,11,1966,308
"Dicentrarchus_labrax",36,49,49,11,16,14,11,193,146,37,48,23,25,86,46,382,165,92,62,65,599,95,65,90,39,49,67,20,18,6,15,11,326,149,63,87,120,60
"Gadus_morhua",1,2,7,3,0,91,16,5,129,17,57,64,105,17,17,30,14,91,214,31,22,12,9,44,25,64,33,571,120,13,6,178,39,38,32,20,71,5
"Limanda_limanda",70,65,85,199,56,96,39,85,14,75,72,40,58,128,11,127,36,19,25,31,12,20,26,12,42,9,47,9,15,58,57,14,7,2,47,7,106,33
"Liparis_liparis",199,210,115,229,281,144,102,55,43,71,71,45,57,47,71,319,88,27,18,34,60,98,92,24,24,102,73,20,64,143,155,119,5,38,78,54,100,51
"Chelon_ramada",19,19,19,5,13,23,2,30,30,104,89,35,16,11,78,367,30,11,19,60,29,45,52,27,23,58,38,34,105,160,57,30,23,20,24,181,72,25
"Merlangius_merlangus",552,700,784,1040,927,3181,791,1243,1445,1139,1308,2127,2207,923,1345,1508,2610,1853,2702,1036,2157,1356,1179,828,720,2080,2461,2858,870,431,1450,2414,2052,712,2307,1179,1167,849
"Platichthys_flesus",58,26,56,62,65,161,91,54,58,48,73,90,127,71,110,108,73,122,177,107,347,70,51,47,50,71,130,146,134,85,77,141,112,79,49,42,52,41
"Pomatoschistus_minutus",305,494,251,303,63,120,420,214,105,144,101,113,193,279,394,313,625,519,496,381,835,201,299,174,300,725,754,122,152,244,513,166,1193,299,289,403,496,903
"Solea_solea",82,77,55,65,70,59,102,81,166,70,168,173,219,113,140,124,164,319,188,100,927,534,174,156,202,487,531,414,940,340,415,205,210,289,588,631,901,384
"Sprattus_sprattus",607,916,505,1054,227,2789,928,713,940,1323,3017,2964,1486,628,2169,3363,8230,1530,1633,1030,865,961,566,1983,571,956,2500,1630,2191,1119,2545,1679,3762,4509,2656,625,1505,962
"Trisopterus_luscus",72,290,75,12,14,112,70,150,871,141,39,80,59,19,21,235,74,102,51,28,475,620,111,38,14,95,83,6,6,15,79,10,9,11,8,4,40,1
"Trisopterus_minutus",319,1426,648,262,60,135,57,23,391,106,34,624,161,55,45,291,68,178,66,40,33,448,113,86,167,243,254,14,0,1,152,330,240,39,123,3,466,1
"Agonus_cataphractus",1,3,8,2,4,10,16,4,9,6,2,1,3,5,8,9,11,4,5,5,10,5,2,2,4,9,3,3,11,16,10,5,8,16,18,9,2,4
"Alosa_fallax",1,7,22,27,36,6,0,63,104,15,17,1,20,30,36,7,5,22,3,13,5,16,10,1,17,1,0,2,37,8,0,5,4,3,1,8,15,30
"Ammodytes_tobianus",3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,2,2,0,0,3,1,2,1,0,1,0,2,0,0,0,2,1,1,0,0,2,4,3
"Anguilla_anguilla",44,61,19,23,12,19,17,13,13,4,3,8,7,7,6,9,8,7,8,6,5,3,3,1,2,2,2,0,2,6,3,2,4,2,1,1,3,2
"Aphia_minuta",2,74,21,35,27,1,6,8,39,9,22,2,6,6,15,6,2,18,20,2,14,31,2,10,31,9,11,1,6,11,8,7,7,18,1,22,35,29
"Arnoglossus_laterna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Atherina_boyeri",0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,3,2,0,2,5,0,1,1,2,1,0,1,0,0,3,0,0,0,0,5,2,0,1
"Balistes_capriscus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belone_belone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parablennius_gattorugine",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Buglossidium_luteum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Callionymus_lyra",7,0,2,3,1,2,0,4,0,3,0,1,5,3,5,1,6,4,7,3,4,3,1,0,10,3,1,1,3,5,1,2,4,0,0,0,1,1
"Callionymus_reticulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,5,0,0
"Centrolabrus_exoletus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ciliata_septentrionalis",1,2,2,0,2,5,1,3,0,1,2,3,1,5,6,1,4,2,4,3,2,3,6,1,1,5,8,8,1,4,0,2,6,1,7,11,2,4
"Conger_conger",11,13,4,12,8,5,5,8,7,7,9,8,6,13,18,13,6,4,8,7,53,15,7,2,12,7,7,5,4,8,2,1,4,16,10,10,23,10
"Symphodus_melops",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelon_labrosus",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystallogobius_linearis",0,0,2,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctenolabrus_rupestris",0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclopterus_lumpus",9,1,0,63,2,3,0,1,1,4,1,0,9,5,0,0,1,0,1,0,3,1,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
"Engraulis_encrasicolus",0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Entelurus_aequoreus",5,1,1,1,4,3,5,1,3,6,2,2,1,1,0,0,5,12,3,1,1,1,13,31,28,47,480,57,21,4,1,0,2,1,2,1,0,3
"Eutrigla_gurnardus",0,0,8,3,1,4,1,0,5,5,55,6,6,3,10,1,4,23,12,15,8,2,5,12,8,287,31,1,0,2,3,46,18,20,104,57,132,44
"Gaidropsarus_vulgaris",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,1,0,1,1
"Gasterosteus_aculeatus",0,0,1,0,0,0,2,1,0,4,0,3,4,1,0,2,2,1,2,12,1,1,2,5,1,1,4,0,2,1,8,1,5,0,1,1,1,0
"Glyptocephalus_cynoglossus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobius_paganellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,2,1,1,1
"Gobius_niger",0,0,0,1,5,0,0,2,0,0,0,3,0,0,0,0,2,0,0,5,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hyperoplus_lanceolatus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Labrus_bergylta",3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Labrus_mixtus",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampetra_fluviatilis",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
