"","yr1982","yr1983","yr1984","yr1985.3","yr1986.7","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018"
"nT",36,36,37,36,36,36,36,36,35,35,35,36,36,36,36,35,35,35,36,36,36,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36
"Agonus_cataphractus",8,9,11,11,14,13,12,9,8,5,6,6,10,12,15,14,12,11,12,11,9,6,7,13,13,11,8,10,12,12,13,14,16,15,13,10
"Alosa_fallax",14,22,24,18,9,7,13,19,20,12,12,14,24,21,16,9,9,11,10,11,12,10,11,7,6,3,6,12,10,10,6,9,6,6,8,14
"Ammodytes_tobianus",3,2,2,1,1,1,2,1,2,1,1,0,0,1,3,3,2,1,2,4,4,3,2,1,3,2,2,0,1,2,3,2,1,2,5,8
"Anguilla_anguilla",18,17,19,19,19,20,19,16,12,11,13,16,17,18,19,18,16,12,11,10,9,6,5,4,5,3,4,6,9,9,7,5,4,3,5,6
"Aphia_minuta",13,14,15,10,9,7,10,10,10,7,8,7,10,11,10,9,10,9,8,8,8,9,13,16,17,9,8,9,11,10,9,9,8,10,11,14
"Arnoglossus_laterna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"Atherina_boyeri",0,2,3,3,1,0,0,1,1,1,0,0,1,4,6,5,4,4,4,3,2,3,3,2,2,1,1,1,1,1,0,0,4,6,6,3
"Balistes_capriscus",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belone_belone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parablennius_gattorugine",0,0,0,0,0,1,2,2,1,0,1,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Buglossidium_luteum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
"Callionymus_lyra",3,3,4,5,3,4,2,5,3,4,4,6,7,5,5,5,7,7,7,6,5,3,4,5,6,4,5,6,6,4,4,3,2,0,1,2
"Callionymus_reticulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,2,2
"Centrolabrus_exoletus",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Ciliata_mustela",16,16,13,11,14,19,24,25,25,23,24,24,24,21,23,26,27,26,25,25,24,22,20,22,26,31,31,30,28,26,25,24,26,29,28,27
"Ciliata_septentrionalis",4,3,4,5,6,6,3,3,3,5,5,7,7,7,5,4,5,4,5,4,6,5,5,5,7,8,6,5,3,3,4,5,6,5,6,7
"Clupea_harengus",5,6,2,6,7,10,8,8,7,8,9,11,12,11,9,7,12,17,18,18,19,22,21,18,20,24,26,25,24,28,27,30,23,22,17,23
"Conger_conger",14,15,15,14,13,12,15,15,18,18,18,17,19,20,19,15,16,18,24,24,24,16,15,12,15,12,12,14,13,10,6,13,19,23,22,24
"Symphodus_melops",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelon_labrosus",0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystallogobius_linearis",2,2,2,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctenolabrus_rupestris",2,3,3,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclopterus_lumpus",5,3,4,7,5,4,2,3,3,2,3,3,3,1,1,1,2,1,3,3,4,2,1,1,1,1,0,1,1,1,1,2,2,2,1,2
"Dicentrarchus_labrax",20,20,21,18,18,17,25,26,28,25,29,25,28,27,33,30,33,31,31,31,30,29,27,28,31,28,26,20,21,18,20,24,29,33,30,29
"Engraulis_encrasicolus",0,2,3,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Entelurus_aequoreus",6,3,4,6,7,6,5,7,7,7,4,4,2,1,2,6,9,8,5,3,6,10,13,16,19,22,21,15,9,3,3,3,5,4,3,4
"Eutrigla_gurnardus",4,6,7,6,5,4,4,8,16,19,18,12,11,8,9,11,16,18,16,12,10,10,14,18,22,17,10,3,4,11,18,20,20,19,22,26
"Gadus_morhua",4,5,4,9,10,14,14,17,20,20,22,22,19,19,17,19,21,22,21,16,14,16,16,20,20,24,24,23,18,18,19,24,22,23,22,20
"Gaidropsarus_vulgaris",2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,1,2,2,2,0,1,2,2,2,2
"Gasterosteus_aculeatus",1,1,1,0,2,3,3,3,2,4,4,5,3,2,3,4,4,9,9,9,4,7,7,6,5,4,5,3,6,5,8,5,5,2,3,2
"Glyptocephalus_cynoglossus",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobius_paganellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,2,2,1,1,2,2,3,3,3
"Gobius_niger",0,1,2,2,1,2,2,2,0,2,2,2,0,0,1,1,1,2,2,3,4,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0
"Hyperoplus_lanceolatus",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
"Labrus_bergylta",4,2,2,0,0,0,0,0,0,0,1,1,1,0,0,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
