"","meanWeight.hinkley","maxWeight.hinkley","K","Lm","QB","Troph","DepthMax","TempPrefMean","Generation_time","RepGuildCombined","BodyShapIII_combined","PositionWaterColumn"
"Ciliata_mustela",17.3,63,0.47,15.7,0,3.5,22,10.3,1.050105,"nonguarders","elongated","demersal"
"Clupea_harengus",4.6,151,0.289999992,19.45606,10.10000038,3.380000114,789,6.6,3.145794,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_compressed","benthopelagic"
"Dicentrarchus_labrax",16.7,940,0.07,55.03319,10.19999981,3.470000029,3,10.7,13.11014,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal","demersal"
"Gadus_morhua",42.9,1100,0.164000005,55.03319,2.579999924,4.090000153,1109,6.6,7.387973,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_oval","benthopelagic"
"Limanda_limanda",1.4,220,0.268999994,20.34572,7.059999943,3.390000105,256,8.9,3.324766,"nonguarders_open_water_substratum_egg_scatterers","short_and_or_deep","demersal"
"Liparis_liparis",3.4,12,0.680000007,10,15.01073333,3.589999914,667,8,1.600954,"nonguarders","elongated","demersal"
"Chelon_ramada",78.9,1200,0.2,30.92983,16.2,2.339999914,20,11.8,4.976112,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal","pelagic_neritic"
"Merlangius_merlangus",15.9,350,0.340000004,24.3234,3.3,4.360000134,424,9.2,2.945783,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_circular","benthopelagic"
"Platichthys_flesus",61.4,507,0.25999999,22.98919,3.9,3.319999933,3,10.2,3.475951,"nonguarders_open_water_substratum_egg_scatterers","short_and_or_deep_compressed","demersal"
"Pomatoschistus_minutus",0.9,2.6,0.927999973,6.128885,3.210000038,3.380000114,424,9.4,1.254468,"guarders_nesters","fusiform_normal","demersal"
"Solea_solea",10.8,550,0.361999989,21.33485,5.8,3.210000038,256,11.4,2.357682,"nonguarders_open_water_substratum_egg_scatterers","short_and_or_deep_flattened","demersal"
"Sprattus_sprattus",3.8,26,0.296999991,10.91813,9,3.00999999,256,9.5,3.611036,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_compressed","pelagic_neritic"
"Trisopterus_luscus",11,83,0.210999995,26.36007,5.1,3.730000019,3,9.6,3.944469,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_circular","benthopelagic"
"Trisopterus_minutus",5.2,46,0.178000003,19.56096,4.9,3.730000019,904,10,4.460777,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_circular","benthopelagic"
"Agonus_cataphractus",3.7,10,0.474999994,9.506703,8,3.430000067,603,9.2,2.303817,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal","demersal"
"Alosa_fallax",7.6,450,0.219999999,35.47286,2.6,4.03000021,841,10.8,4.520809,"nonguarders_open_water_substratum_egg_scatterers","fusiform_normal_compressed","pelagic_neritic"
"Ammodytes_tobianus",1.8,20,0.600000024,12.58505,6.6,3.079999924,1355,10.2,1.579981,"nonguarders","elongated_circular","demersal"
